rep,id,initT,aS,dS,tau,lBt0,lp,dI,n,V0
2,40061,6.99607379794224e-18,9,3.48632451915853e-05,0.05,-3.21913263391482,3,2.0882075014722,0.898844939130169,1
3,40061,3.14833062519971e-12,9,3.24536530900841e-05,0.05,-3.40304323656833,3,1.99023096359156,0.501895481805368,1
4,40061,6.32998302814057e-14,9,3.52918402393159e-05,0.05,-3.16340265211084,3,1.43087401509429,0.444276069422605,1
5,40061,3.7161438675357e-11,9,1.88652398745201e-05,0.05,-3.8299234792241,3,2.59331433092301,0.760230170840982,1
6,40061,8.45055551993674e-18,9,2.976553448983e-05,0.05,-2.65614878079179,3,2.23810554702346,0.551802882072376,1
7,40061,1.81643870841464e-11,9,2.99262756303918e-05,0.05,-3.228438211725,3,1.87674531179634,0.400567728884421,1
8,40061,3.55723815751908e-07,9,3.49319725414999e-05,0.05,-3.31635400132098,3,2.13024289407315,0.47566365849464,1
9,40061,1.25963787452152e-10,9,2.04728572880552e-05,0.05,-3.52698453606751,3,2.11877316884045,0.656547931038611,1
10,40061,1.06648267777899e-20,9,2.44255945116874e-05,0.05,-3.12529095643086,3,2.12496989275996,0.471294031537217,1
1,40094,7.67324211685476e-18,9,1.15270816251385e-05,0.05,-3.79839943988749,3,1.89454282198174,0.650336781794033,1
2,40094,4.9495018771838e-14,9,1.41577714271405e-05,0.05,-3.6445056836847,3,2.82204553865382,0.7321854844543,1
3,40094,1.0341554827431e-12,9,4.11745993890798e-05,0.05,-4.28215829348136,3,1.82104287140062,0.7549238817418,1
4,40094,2.90670978814059e-13,9,1.99400859759179e-05,0.05,-2.88302082190215,3,1.47628071030063,0.904060196789849,1
5,40094,1.75007639625784e-12,9,2.70626836107468e-05,0.05,-3.53440940338482,3,1.69019447909213,0.722749410915934,1
6,40094,3.26317226324244e-10,9,6.6654364549693e-05,0.05,-3.13476142100139,3,1.97969181715922,0.576286736383301,1
7,40094,3.54157860410204e-06,9,1.95300754004634e-05,0.05,-3.48342460725,3,1.73371048632431,0.53356186180937,1
